subcategory_id,subcategory
subcat01,food trucks
subcat02,rock
subcat03,web
subcat04,plays
subcat05,documentary
subcat06,electric music
subcat07,drama
subcat08,indie rock
subcat09,wearables
subcat010,nonfiction
subcat011,animation
subcat012,video games
subcat013,shorts
subcat014,fiction
subcat015,photography books
subcat016,radio & podcasts
subcat017,metal
subcat018,jazz
subcat019,translations
subcat020,television
subcat021,mobile games
subcat022,world music
subcat023,science fiction
subcat024,audio
